text,intent,language
3qtKidEMfte12bU46nrYXoJHwjPgd63IPHr84hOSwwLt0HdG20qFpmouY2ZHFvzKbBB16hoNlh5GduAO3gUAGFOkM60y,No Intent,unknown
HVULFoMMSlp2l7IdIAsUC6tH6dh2q88fj02yioKBGWLtm6Be9G99jMlEFURZBrFMRn0Hbi286gA8jJax86L,No Intent,unknown
Can you tell me what time it is now?,get_time,en
The quick brown fox jumps over the lazy dog.,No Intent,unknown
"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",No Intent,unknown
09035171586088227893,No Intent,unknown
291390605,No Intent,unknown
"Можете ли вы рассказать мне время, пожалуйста?",get_time,ru
809380666363327,No Intent,unknown
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
291390605,No Intent,unknown
Добрый день!,greet,ru
C0eYpOTBzzj73vwfprBehEXV0PSd1Bcyq2WphSTVeQkd54f23RQDVflrCR6camm9w4oQupr5DFhnye,No Intent,unknown
0662636,No Intent,unknown
"To be or not to be, that is the question.",No Intent,unknown
Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,No Intent,unknown
"unknown:Hallo, wie geht es dir gerade?",greet,unknown
All work and no play makes Jack a dull boy.,No Intent,unknown
58658303876673266,No Intent,unknown
"Hey, was gibt's Neues?",greet,en
65135406,No Intent,unknown
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
MR3m72tUhv6h11aT2NqlT2xFh1qF9uY8eRpe9VjbkcVtJldXmp32noizhTGpFICyiJiledNVTP4hSLdH6jamcgaavWnPVh,No Intent,unknown
4794214,No Intent,unknown
The quick brown fox jumps over the lazy dog.,No Intent,unknown
rxtDq0HM4EqkPKqSHQFREm6rlZt2hfvG8Q5TPlJN0rxwSDA6ws4RcXBEiE6GtzQSjDPfcXDb2PX6yXuuBi50huzm6Ul3jnPT,No Intent,unknown
150478225387200283,No Intent,unknown
Можете ли вы сообщить мне сегодняшнюю дату?,get_date,ru
"Hallo, wie geht es dir?",greet,de
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
73987693531,No Intent,unknown
Mind telling me what time it is?,get_time,en
All work and no play makes Jack a dull boy.,No Intent,unknown
Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,No Intent,unknown
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
qV6UeipXGY2fisAT7hgXDGPW91wmXu1kCMjHIjvEZydzwCpDZrcqKasTu7mlZ8g,No Intent,unknown
MEooOm9lv2G1ZrNdj8wKGMbmRLqeicmm107xko2mK3O6B0K2YafjcARwsCrqpU,No Intent,unknown
"Haben Sie eine Ahnung, welches Datum heute ist?",get_date,de
3qtKidEMfte12bU46nrYXoJHwjPgd63IPHr84hOSwwLt0HdG20qFpmouY2ZHFvzKbBB16hoNlh5GduAO3gUAGFOkM60y,No Intent,unknown
"Извините, вы не могли бы сказать мне текущее время?",get_time,ru
Do you happen to have the time on you?,get_time,en
The quick brown fox jumps over the lazy dog.,No Intent,unknown
Можете ли вы поделиться информацией о сегодняшней дате со мной?,get_date,ru
"Could you provide me with the current time, please?",get_time,en
zl6Uov1ZpMUc0jRiiKlXxSQyDRUsqdcYpshhJGcqvvx7Ut4zdGRQmGaJmFoRltYhO9pDquLVvm,No Intent,unknown
Do you know what the date is today?,get_date,en
291390605,No Intent,unknown
Könnten Sie das heutige Datum überprüfen und bestätigen?,get_date,de
03236,No Intent,unknown
4909356103781945539,No Intent,unknown
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
662998958657075,No Intent,unknown
lGNOKXLRDa0TViD55RuGL8DXmbQbDKyQuVyt67ZM,No Intent,unknown
Добрый вечер!,greet,ru
6071932391,No Intent,unknown
Do you happen to know what today's date is?,get_date,en
Wie sieht es gerade mit der Uhrzeit aus?,get_time,de
"Можете ли вы рассказать мне время, пожалуйста?",get_time,ru
60829458667,No Intent,unknown
"Hi, how's life treating you?",greet,en
58315,No Intent,unknown
88322311569066655953,No Intent,unknown
"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",No Intent,unknown
Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,No Intent,unknown
She sells seashells by the seashore.,No Intent,unknown
unknown:Адьос!,goodbye,unknown
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
"To be or not to be, that is the question.",No Intent,unknown
RAnR6wx2s4OivHzduj1zxA95RS2zuSambE6nIP12HYP4wmstoH5,No Intent,unknown
qvdm5hxswYdv3xBP9pq5duW5cnJU6lhNh3PSXbG5ivwQaCVd,No Intent,unknown
83234,No Intent,unknown
Was ist heute für ein Datum?,get_date,de
"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",No Intent,unknown
"Привет, как ваш день?",greet,ru
Есть ли у вас какие-либо детали о сегодняшней дате?,get_date,ru
"Würden Sie mir bitte verraten, welches Datum heute ist?",get_date,de
"To be or not to be, that is the question.",No Intent,unknown
May I ask for the current time from you?,get_time,en
"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",No Intent,unknown
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
She sells seashells by the seashore.,No Intent,unknown
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
What's the time looking like at the moment?,get_time,en
unknown:Farewell!,goodbye,unknown
889488439056284,No Intent,unknown
0415046158812,No Intent,unknown
53793745,No Intent,unknown
"To be or not to be, that is the question.",No Intent,unknown
Was ist los?,greet,en
5061885,No Intent,unknown
All work and no play makes Jack a dull boy.,No Intent,unknown
708248539656127189,No Intent,unknown
Any updates on today's date?,get_date,en
M9rn3WFfNpfJTBbFkhmznauKbug1isIqYtqkbQSwPO8N2rPYW7K7DEA0APchxx3sFDhsSL6lU9B4G,No Intent,unknown
YOMwFdxuSUZdnnNayS6Z8CW3CLLN7zbQR,No Intent,unknown
She sells seashells by the seashore.,No Intent,unknown
"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",No Intent,unknown
All work and no play makes Jack a dull boy.,No Intent,unknown
2820105727331311816,No Intent,unknown
nV2T4d3xebXPBNTjRUbiECkBkfgynIJBvcfaHgu7ectQrwvEi2dowtfzmC8uS,No Intent,unknown
Might I ask for today's date?,get_date,en
Bleib sicher!,goodbye,de
"Hi, how's life treating you?",greet,en
sVG2bGUmbAyugr3tNdqHDX6,No Intent,unknown
579225629249,No Intent,unknown
Можете ли вы помочь мне и проверить время?,get_time,ru
Z6zQ4z6jutlNMZP9puuQip18tsTgXRKSI4hePWmAtyoNPimdtz3Oj7QhmmEys7Y7fItbCvvCnDJvqFXJTlfWnNtCia5LuqqdKTu,No Intent,unknown
Any clue about the date today?,get_date,en
21680230889888,No Intent,unknown
"To be or not to be, that is the question.",No Intent,unknown
"Entschuldigung, haben Sie die Uhrzeit?",get_time,de
"To be or not to be, that is the question.",No Intent,unknown
Здравствуйте!,greet,ru
Can you let me know what time it is?,get_time,en
"Hey, how's your week been?",greet,en
See you later!,goodbye,en
5819517,No Intent,unknown
Können Sie mir das Datum für heute mitteilen?,get_date,de
unknown:Good evening!,greet,unknown
"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",No Intent,unknown
"Hey, wie läuft deine Woche?",greet,de
unknown:Берегите себя!,goodbye,unknown
"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",No Intent,unknown
RcnzmnIXYEA81gKGJnMcjDEVduftgp59tTzKZgItOXYFVzo41of58LXtRDXhsf,No Intent,unknown
Мир и любовь!,goodbye,ru
The quick brown fox jumps over the lazy dog.,No Intent,unknown
"Привет, как ваша неделя проходит?",greet,ru
0xxap0XGLkFWgZI2UgRtwQuOhRiCuhV0RdA8DSVUGa2paKk,No Intent,unknown
"Wie ist das aktuelle Datum, wenn ich fragen darf?",get_date,de
The quick brown fox jumps over the lazy dog.,No Intent,unknown
Any chance you could tell me today's date?,get_date,en
0531959,No Intent,unknown
0493452331,No Intent,unknown
"Haben Sie eine Sekunde Zeit, um mir zu sagen, wie spät es ist?",get_time,de
"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",No Intent,unknown
62689,No Intent,unknown
Einen schönen guten Morgen!,greet,de
Wie läuft dein Tag bisher?,greet,de
"Hey, what's new?",greet,en
Mind sharing the time with me?,get_time,en
Salutations!,greet,fr
v2tJyseaON9bvBlAHArXnYiTvKlhZ8Fr,No Intent,unknown
Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,No Intent,unknown
"To be or not to be, that is the question.",No Intent,unknown
08484770423518866,No Intent,unknown
See you around!,goodbye,en
Grüß Gott!,greet,de
I6zxxI6IHKbNEnOUpULh9w,No Intent,unknown
All work and no play makes Jack a dull boy.,No Intent,unknown
Могу ли я узнать время?,get_time,ru
Guten Abend!,greet,de
"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",No Intent,unknown
Mind filling me in on today's date?,get_date,en
Would you mind sharing the time with me?,get_time,en
Wie geht es dir?,greet,de
"Не могли бы вы сказать мне, сколько времени?",get_time,ru
"Haben Sie eine Idee, welches Datum heute ist?",get_date,de
Мир и любовь!,goodbye,ru
unknown:Какова сегодняшняя дата?,get_date,unknown
Do you have the time handy?,get_time,en
Do you know what time it is at the moment?,get_time,en
Könnten Sie mich über die aktuelle Uhrzeit informieren?,get_time,de
9M08iJb9M3YuJkWiASUrg320yLfdLIlMEBp0k60yuTVun0zMJj7ncqV0Xz15mImbDs4J,No Intent,unknown
Есть ли у вас представление о сегодняшней дате?,get_date,ru
Wie geht es dir?,greet,de
"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",No Intent,unknown
"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",No Intent,unknown
4051985650806,No Intent,unknown
zK73pvr9Qnq5eA1GZTieE1EpatpSKBfS2Xj8F60AyVasUjBgUKnCSjZqk6rfqQZfC9ADYtCQgTbB,No Intent,unknown
unknown:Good evening!,greet,unknown
Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,No Intent,unknown
Möchten Sie das heutige Datum mit mir teilen?,get_date,de
Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,No Intent,unknown
05b65s49l4tHvsMk3QDDeTMkwun72DQA0OQp8mRiU39J59kliJLql6wOyFC1SlNbhXXZ1mZ3pdX,No Intent,unknown
unknown:Ciao!,goodbye,unknown
unknown:Как у вас дела?,greet,unknown
Might I inquire about the time?,get_time,en
Hey!,greet,en
28909585175,No Intent,unknown
unknown:Howdy!,greet,unknown
Good to meet you!,greet,en
JaoeRImR0RcQW0jPck9bOGLNdyJ4cEGQMr1f,No Intent,unknown
"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",No Intent,unknown
Есть ли обновления о сегодняшней дате?,get_date,ru
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
"Schön, dich kennenzulernen!",greet,de
11544452675810,No Intent,unknown
Can you let me know what time it is?,get_time,en
05b65s49l4tHvsMk3QDDeTMkwun72DQA0OQp8mRiU39J59kliJLql6wOyFC1SlNbhXXZ1mZ3pdX,No Intent,unknown
wqYKQivZoGzZhDUQ2jkCh,No Intent,unknown
She sells seashells by the seashore.,No Intent,unknown
The quick brown fox jumps over the lazy dog.,No Intent,unknown
Grüß Gott!,greet,de
"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",No Intent,unknown
Do you have the time handy?,get_time,en
796312565,No Intent,unknown
"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",No Intent,unknown
299821836599316,No Intent,unknown
Как ваш день до сих пор проходит?,greet,ru
Wie läuft es bei dir?,greet,de
unknown:Как дела?,greet,unknown
29996101096201189256,No Intent,unknown
7886451,No Intent,unknown
Würden Sie mir das heutige Datum verraten?,get_date,de
Can you tell me today's date?,get_date,en
8438127982329,No Intent,unknown
All work and no play makes Jack a dull boy.,No Intent,unknown
5149977951,No Intent,unknown
GJCzRyw1w2haQW2BM7TiPN7BpEa93AAhQFuixunYtdl80ir9mjUP6YC9pVKvDYFIEw0tuaZKQ0JH3Poh0U,No Intent,unknown
"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",No Intent,unknown
"Wissen Sie zufällig, wie spät es ist?",get_time,de
M9rn3WFfNpfJTBbFkhmznauKbug1isIqYtqkbQSwPO8N2rPYW7K7DEA0APchxx3sFDhsSL6lU9B4G,No Intent,unknown
She sells seashells by the seashore.,No Intent,unknown
The quick brown fox jumps over the lazy dog.,No Intent,unknown
60829458667,No Intent,unknown
"Haben Sie eine Ahnung, welches Datum heute ist?",get_date,de
"Hey, what's going on?",greet,en
"Есть ли у вас возможность узнать, который час?",get_time,ru
714060864848,No Intent,unknown
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
HVULFoMMSlp2l7IdIAsUC6tH6dh2q88fj02yioKBGWLtm6Be9G99jMlEFURZBrFMRn0Hbi286gA8jJax86L,No Intent,unknown
08484770423518866,No Intent,unknown
796312565,No Intent,unknown
Can you shed some light on the date for today?,get_date,en
Приятно познакомиться!,greet,ru
293023523066379,No Intent,unknown
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
"Können Sie mir sagen, wie spät es ist?",get_time,de
Might I ask for today's date?,get_date,en
What day of the month is it today?,get_date,en
unknown:Hallo!,greet,unknown
pxrp1gDuZTZJ97QhJOvqlMrLLHRbaOpVUUwk1vQG6FtJ65xAcOdZTQ1PMhaJnXZqybUF5S1oFQOcn3jLpn3hVuoNC,No Intent,unknown
All work and no play makes Jack a dull boy.,No Intent,unknown
91008784,No Intent,unknown
Frieden und Liebe!,goodbye,de
816027111160061,No Intent,unknown
21680230889888,No Intent,unknown
9335555887,No Intent,unknown
"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",No Intent,unknown
Take good care!,goodbye,en
Bleib sicher!,goodbye,de
"Excuse me, do you have the time?",get_time,en
UgBmmm4ZO2pfxZ5dXVk5K,No Intent,unknown
myz26cAUa778vMvN8dD6jOdVf2rXD6vaz7uNELCF4oQJ8jKjNaCU5tcFHLfZOp0TGg4yKGz,No Intent,unknown
Tschüss für jetzt!,goodbye,de
"Не знаете ли вы, который час сейчас?",get_time,ru
69489164809,No Intent,unknown
unknown:Какова сегодняшняя дата?,get_date,unknown
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
03236,No Intent,unknown
"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",No Intent,unknown
tsc7LtKsi1SDgDW0Cgm79TstuohV50TbcHSkGR,No Intent,unknown
She sells seashells by the seashore.,No Intent,unknown
Fla1NaHi7rC13RlZYHajrVYFI6E2eiATpMayJcDUs0oJ5vWX1fIRRc5s4tJVUrtUzRRUUG2YH,No Intent,unknown
299283,No Intent,unknown
Einen schönen guten Morgen!,greet,de
До следующей встречи!,goodbye,ru
gA9WB1KGb0o6ey8xcp6DRgtInsOboNsxD2h98FYAbCGpniNoBc6rRL544qFaEb0l,No Intent,unknown
Any details on the date for today?,get_date,en
"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",No Intent,unknown
Could you inform me of the current time?,get_time,en
Do you know what time it is at the moment?,get_time,en
qV6UeipXGY2fisAT7hgXDGPW91wmXu1kCMjHIjvEZydzwCpDZrcqKasTu7mlZ8g,No Intent,unknown
813618,No Intent,unknown
601523035162845,No Intent,unknown
Keep in touch!,goodbye,en
She sells seashells by the seashore.,No Intent,unknown
"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",No Intent,unknown
Wie sieht das Datum auf Ihrem Kalender für heute aus?,get_date,de
594227412948132,No Intent,unknown
Могу ли я узнать время?,get_time,ru
"Hallo, wie läuft dein Tag?",greet,de
Catch you later!,goodbye,en
"Schön, dich anzutreffen!",greet,de
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
Как ваши дела сегодня?,greet,ru
Any idea what the date is today?,get_date,en
150478225387200283,No Intent,unknown
6726928341562040371,No Intent,unknown
"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",No Intent,unknown
Darf ich nach der Uhrzeit fragen?,get_time,de
"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",No Intent,unknown
JYYivhxdoppCxWmMcS22,No Intent,unknown
"unknown:Hallo, wie geht es dir gerade?",greet,unknown
Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,No Intent,unknown
Könnten Sie mir bitte Informationen über das heutige Datum geben?,get_date,de
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
rxtDq0HM4EqkPKqSHQFREm6rlZt2hfvG8Q5TPlJN0rxwSDA6ws4RcXBEiE6GtzQSjDPfcXDb2PX6yXuuBi50huzm6Ul3jnPT,No Intent,unknown
"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",No Intent,unknown
"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",No Intent,unknown
33203,No Intent,unknown
"To be or not to be, that is the question.",No Intent,unknown
Was geht ab?,greet,de
Какова дата по вашему календарю сегодня?,get_date,ru
96408,No Intent,unknown
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
"Hallo, wie kommst du zurecht?",greet,de
The quick brown fox jumps over the lazy dog.,No Intent,unknown
"Вы знаете, какое сегодня число?",get_date,ru
5431973790389493,No Intent,unknown
"Können Sie mich über die Uhrzeit aufklären, bitte?",get_time,de
"Wissen Sie, wie spät es gerade ist?",get_time,de
The quick brown fox jumps over the lazy dog.,No Intent,unknown
9052423247199,No Intent,unknown
She sells seashells by the seashore.,No Intent,unknown
Hab einen schönen Tag!,goodbye,de
991978313,No Intent,unknown
She sells seashells by the seashore.,No Intent,unknown
5819517,No Intent,unknown
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
9335555887,No Intent,unknown
FNegWpcQwMp3vydrqHNTi1553kEWhYCy38FZ7xyV5QudjSM7X3IXqzTTJJX8N8YN5cgNSRK6dHSbRCL,No Intent,unknown
"Привет, что нового?",greet,ru
Könnten Sie mir bitte das heutige Datum mitteilen?,get_date,de
gLrGNPF3QUB2n4iYaCP6Px53pRU4Ck148BonFOQNHFB9DlqBOKbXWpQvHQCyCcH8SMuva9ea2BhOD7BXlMRkdtlJUgRE,No Intent,unknown
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
"Hi, how have you been?",greet,en
All work and no play makes Jack a dull boy.,No Intent,unknown
zK73pvr9Qnq5eA1GZTieE1EpatpSKBfS2Xj8F60AyVasUjBgUKnCSjZqk6rfqQZfC9ADYtCQgTbB,No Intent,unknown
Guten Morgen!,greet,de
"To be or not to be, that is the question.",No Intent,unknown
"To be or not to be, that is the question.",No Intent,unknown
5149977951,No Intent,unknown
Keep in touch!,goodbye,en
The quick brown fox jumps over the lazy dog.,No Intent,unknown
JtdeyGEE6x7aKy28d2y14f3oCE3Dl,No Intent,unknown
"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",No Intent,unknown
How much wood would a woodchuck chuck if a woodchuck could chuck wood?,No Intent,unknown
Можете ли вы сообщить мне сегодняшнюю дату?,get_date,ru
unknown:Well met!,greet,unknown
Увидимся!,goodbye,ru
WX4jqbmHK0JHddtEV4gOdgwaWUw,No Intent,unknown
unknown:What's today's date looking like?,get_date,unknown
"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",No Intent,unknown
33203,No Intent,unknown
PH8q3BVzzzPs5yY3uELXfmoPehomxHnQJDnyeVr,No Intent,unknown
Could you check and confirm today's date?,get_date,en
"Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",No Intent,unknown
unknown:Пока!,goodbye,unknown
"Haben Sie eine Vorstellung, welches Datum heute ist?",get_date,de
4896221282,No Intent,unknown
299821836599316,No Intent,unknown
2508057557002110710,No Intent,unknown
MR3m72tUhv6h11aT2NqlT2xFh1qF9uY8eRpe9VjbkcVtJldXmp32noizhTGpFICyiJiledNVTP4hSLdH6jamcgaavWnPVh,No Intent,unknown
unknown:Arrivederci!,goodbye,unknown
What's the current time on your watch?,get_time,en
What's the date today?,get_date,en
Würden Sie mir freundlicherweise die Uhrzeit mitteilen?,get_time,de
"Entschuldigung, könnten Sie mir die aktuelle Uhrzeit sagen?",get_time,de
Легкой походки!,goodbye,ru
Catch you later!,goodbye,en
08484770423518866,No Intent,unknown
"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",No Intent,unknown
Какова дата для сегодняшнего дня?,get_date,ru
"To be or not to be, that is the question.",No Intent,unknown
Fla1NaHi7rC13RlZYHajrVYFI6E2eiATpMayJcDUs0oJ5vWX1fIRRc5s4tJVUrtUzRRUUG2YH,No Intent,unknown
Haben Sie irgendwelche Informationen über das heutige Datum?,get_date,de
Tschüssi!,goodbye,de
"Wissen Sie, welches Datum heute ist?",get_date,de
She sells seashells by the seashore.,No Intent,unknown
Can you tell me today's date?,get_date,en
1wbpCwFfxfI0DAih2oSKFd5Ee4WO9wjlZ3SSPZS0h20nZ,No Intent,unknown
Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.,No Intent,unknown
Peace out!,goodbye,en
"To be or not to be, that is the question.",No Intent,unknown
Könnten Sie mir das Datum für heute nennen?,get_date,de
unknown:Bye-bye!,goodbye,unknown
